Servo angle calibration
LSM6DS33 Found!
Accelerometer range set to: +-2G
Accelerometer data rate set to: 26 Hz

BEGIN DATA COLLECTION
9.605388 -0.040678 -0.556929
9.608978 -0.055035 -0.555733
9.606585 -0.043071 -0.565304
9.610773 -0.051446 -0.566501
9.604790 -0.040080 -0.561715
9.605987 -0.047258 -0.564706
9.608380 -0.044865 -0.566501
9.613165 -0.061017 -0.556331
9.614960 -0.055633 -0.584447
9.594621 -0.056830 -0.568295
9.667004 -0.022732 -0.574876
9.612566 -0.069990 -0.577268

2000
9.597014 -0.051446 -0.608973
9.607184 -0.047856 -0.598206
9.598809 -0.038883 -0.594018
9.602398 -0.049053 -0.586242
9.600603 -0.047856 -0.598804
9.602398 -0.040080 -0.603590
9.614960 -0.053240 -0.595215
9.601799 -0.057428 -0.601795
9.631112 -0.034098 -0.600598
9.595818 -0.035294 -0.597009
9.616754 -0.043071 -0.591027
9.585648 -0.062812 -0.594018
9.595219 -0.058026 -0.595813
9.606585 -0.051446 -0.592822
9.612566 -0.045464 -0.598804
9.604193 -0.047258 -0.603590
9.603594 -0.072383 -0.597009
9.598211 -0.054437 -0.605982
9.607184 -0.052044 -0.601197
9.607184 -0.043669 -0.603590

END DATA COLLECTION
